Mutation_types	CNS1	CNS2	CNS3	CNS4	CNS5	CNS6	CNS7	CNS8	CNS9	CNS10	CNS11	CNS12	CNS13	CNS14	CNS15	ART 1	ART 2	ART 3
2:het:0-100kb	0.00018321	0.002813763	0.000126855	0.0035614000000000006	0.0031181	0.00213926	0.00038608	0.001077283	0.0	0.020851501	0.0010385	0.00173387	0.00068448	0.00263212	0.00266672	0.00313745	0.00205934	0.000280432
2:het:100kb-1Mb	0.0009306000000000001	0.057456734	0.002392692	0.00180746	0.0312283	0.00460283	0.0001888	0.001448575	1e-08	0.01137198	0.0008892000000000001	0.00835966	0.00313133	0.00068982	0.00197375	0.030906700000000002	0.02112224	0.020441703999999998
2:het:1Mb-10Mb	0.00124271	0.159920321	0.017226427	0.008628749	0.0164266	0.0006929	0.00087384	0.000571468	0.0	0.023632351	0.002329035	0.04798882	0.00410482	0.000855655	0.00185384	0.161346311	0.12925873	0.196033892
2:het:10Mb-40Mb	0.00653021	0.129543643	0.112043886	0.008931519	0.00452687	0.00078362	0.00061789	0.00040127	3.93e-06	0.024327821	0.00267494	0.04018991	0.0010782	0.00093736	0.00136271	0.108768015	0.26664244	0.17972657399999997
2:het:>40Mb	0.04721082099999999	0.006767871	0.6475482370000001	0.00200753	4.6e-07	6e-08	0.0	1.62e-06	8e-08	0.022788761	0.002161405	6.15e-07	4.3e-07	0.00410845	7.5e-07	0.00087765	0.01902544	0.01829589
3-4:het:0-100kb	0.028397721	0.006686778000000001	0.000986437	0.009499469	0.01701046	0.00557084	0.00015917	0.001301613	0.00042229	0.016759401	0.013551545	0.004295095	0.00495	0.00119799	0.00179605	0.001840025	0.0007457999999999999	0.00050524
3-4:het:100kb-1Mb	0.20328865399999999	0.067471318	0.003623147	0.20550372600000003	0.205701382	0.04177622	0.00188043	0.01521748	6.5e-06	0.042647992	0.04139118	0.027386325	0.00936991	0.007901100000000001	0.02323495	0.02145428	0.00157867	0.008474694
3-4:het:1Mb-10Mb	0.055675990999999994	0.043510864	0.001734587	0.23333490399999998	0.12230612099999999	0.086956359	0.18503819800000001	0.05815643	0.01763335	0.027620611	0.026193135	0.015401125	0.01812126	0.05723657099999999	0.01723295	0.044882975	0.00634558	0.015763968
3-4:het:10Mb-40Mb	0.00340995	0.007530375	0.003009542	0.06299065599999999	0.075935951	0.067579949	0.188270228	0.135200883	0.00761337	0.018505441	0.00495607	0.02038458	0.100679891	0.071385861	0.00618312	0.020714495	0.00077023	0.009131138
3-4:het:>40Mb	0.00472731	0.002876185	0.005373925	0.00240527	0.00256084	1e-08	0.000536	0.39028477899999997	6.2e-05	1.8e-07	0.02416852	0.002974155	0.00090365	0.352795454	0.00048235	0.00051959	2.1e-07	0.001866582
5-8:het:0-100kb	0.068606241	0.0017196720000000002	0.000741212	0.00362532	0.00185133	0.00596208	0.00049621	0.001717201	2.95e-05	0.00551728	0.032617975	0.003368305	0.00044794	0.00055329	0.01032126	0.00058946	3.53e-05	0.002082402
5-8:het:100kb-1Mb	0.056865760999999994	0.00135021	0.00011638	0.00454924	0.02780896	0.04005666	0.0124036	0.011630412	0.0438027	0.039523742	0.127337371	0.007209015	0.00783497	0.000657615	0.04438502	0.00175159	0.00091931	0.004128916
5-8:het:1Mb-10Mb	0.01134511	0.001136105	0.000204002	0.00205142	0.02161426	0.01210908	0.129027959	0.019335548	0.185368842	0.162603387	0.06124148099999999	0.008309545	0.00156351	0.00014047	0.08961901	0.004135055	0.00226165	0.005086422
5-8:het:10Mb-40Mb	0.00463152	0.000468092	1.93e-05	0.00026427	0.00344696	0.00183866	0.055166629	0.025641671	0.057285500999999996	0.122266015	0.008361195	0.00097313	0.00131279	0.00033354	0.08336645	0.001374835	0.00179573	0.0028177159999999996
5-8:het:>40Mb	1e-08	0.000413552	0.000525662	2.1899999999999997e-05	2.3e-07	0.0	1e-08	0.044174807	0.01649539	0.076936563	0.004528565	0.00127684	0.00069671	0.00204562	0.25307107	0.00133954	1.8e-07	0.0007801860000000001
9+:het:0-100kb	5.16e-05	0.00168183	0.00010525799999999999	0.016700898999999998	0.00503956	0.00047103	5.39e-05	0.000991451	1e-08	0.00254618	0.094947456	0.003029025	2.48e-05	1.28e-06	0.00338768	0.000483875	1.4099999999999999e-05	0.000621376
9+:het:100kb-1Mb	2.15e-05	0.004252061	0.000318177	0.043428957000000004	0.00484797	0.0002512	7.49e-05	0.00324101	8.13e-06	0.00174383	0.26674676199999997	0.00738562	0.00018166	8.6e-07	0.0033166	0.00014049	1.5e-07	0.001350168
9+:het:1Mb-10Mb	2.6e-07	0.000808817	0.000187035	0.00489714	0.01332158	1e-08	0.00013899	0.003779865	0.052794321	7.1e-07	0.110528846	0.00611754	0.00016027	9.05e-07	0.00998959	0.00027061	1.4e-07	0.001385586
9+:het:10Mb-40Mb	2.4e-07	3.12e-05	1.74e-06	3.3600000000000004e-05	1.56e-05	0.00012153	0.00012341	0.001908404	0.00605752	0.00197462	0.001809925	6.790000000000001e-05	0.00013193	2.0300000000000002e-05	0.00316669	0.000242765	1.4e-07	0.000133182
