Type	DBS1	DBS2	DBS3	DBS4	DBS5	DBS6	DBS7	DBS8	DBS9	DBS10	DBS11
AC>CA	5.28616004341466e-05	0.000398340375169071	0.00686801319571545	0.0044161988059454	0.00221884263771779	0.00279286700511395	0.0512121559174398	0.22032334949231	0.0261001865883462	0.0103236806526879	0.00144954449597195
AC>CG	2.80794014378565e-05	3.37630745798383e-05	5.02933249764989e-05	5.29090484963508e-05	0.000479021167582064	0.000153292700280691	0.00697333277742918	0.000997091251423338	0.00219623521292181	1.89749893616381e-05	0.000205263965123034
AC>CT	0.00456290273365169	0.00013420023334573	0.0032663621812694	8.87506619938786e-18	0.00209442155522894	0.000251988000461409	0.0151739721236859	0.325873605295603	0.0302380210474743	0.0144724495131138	0.000799894626974299
AC>GA	0.000135078938735143	0.000252424248436016	0.00632722475510793	0.00469354462467628	0.000578558033573142	0.00900857101649538	0.0108560844679017	0.00118872132749339	0.0268428748245999	0.00573537814038215	0.000467663260744232
AC>GG	6.07323417462731e-05	4.44138867501344e-18	0.000486709596546765	7.47766995885925e-18	1.15089501302184e-17	0.000109194800199944	0.00283396244074722	0.000830055409715214	0.00756481017784181	0.000632499645387939	0.00238063877075684
AC>GT	0.00314829652485058	0.000298222740768289	0.0109239265002719	1.1947204499176e-08	0.000852284415048607	0.000138593400253776	0.00502079959974901	0.000154738724527157	0.0128378966552435	0.0307673556315827	0.00604153216934292
AC>TA	0.00127633642899348	0.00157632020120381	0.00109239265002719	0.00135472765303156	0.00153452668402912	0.0106044950194176	0.00604727418458659	0.0127070210869983	0.0437125076195067	0.000112563496213108	0.00027932828243547
AC>TG	0.000182941554822399	6.77391654030827e-06	1.20055033814868e-17	5.66425499023432e-05	0.00116126343656258	0.00047142755086322	0.00111350177789989	0.00263363259625692	0.0189915991842031	8.21177505707053e-06	0.000252876740538171
AC>TT	0.0281857628069393	0.00311003715372644	1.92520684856275e-06	0.000171741064675654	0.00774521238493078	0.00333884100611367	0.00131656522837863	0.000274635617041578	0.0471076538423809	0.000761143641060061	0.00298373392601524
AT>CA	0.000447633641416211	3.51533150613643e-05	0.00664847156423451	0.000853169869191667	9.77750948108683e-05	0.000104511776712393	0.0108137198245058	2.48747441344502e-05	0.0117653265807293	0.00330426401663734	0.00875812384838968
