MutationsType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
1:Del:C:0	0.00674724	0.01159681	0.04699048	0.04966229	0.00183957	0.00856840	0.02232269	0.14135217	0.04463867	0.04867948
1:Del:C:1	0.00108693	0.00737513	0.01007768	0.00495988	0.00009146	0.00228318	0.01215533	0.09025281	0.01557178	0.02194138
1:Del:C:2	0.00124122	0.00185276	0.00491051	0.00000000	0.00109848	0.00494971	0.00658875	0.06253425	0.00439988	0.00985495
1:Del:C:3	0.00638089	0.00035392	0.00000000	0.00000000	0.00000000	0.00217557	0.00341689	0.04991282	0.00000000	0.00000000
1:Del:C:4	0.01236945	0.00000000	0.00000000	0.00197124	0.00024858	0.00000000	0.00289917	0.02179487	0.00206072	0.00000000
1:Del:C:5	0.03466907	0.00008563	0.00265640	0.00000000	0.00027915	0.00457282	0.00000000	0.01320263	0.00161637	0.00000000
1:Del:T:0	0.00342382	0.00743756	0.02069410	0.01074418	0.00183679	0.00935806	0.00987162	0.05532641	0.05944337	0.01889334
1:Del:T:1	0.00096276	0.00177145	0.01787989	0.00306505	0.00042775	0.00000000	0.00662211	0.03810403	0.02481110	0.03038465
1:Del:T:2	0.00284452	0.00539679	0.01382517	0.00836597	0.00000000	0.00309290	0.00888963	0.05885588	0.01351843	0.01501817
1:Del:T:3	0.01342695	0.00548521	0.02196768	0.00260430	0.00135785	0.00000000	0.00890432	0.05738604	0.01287598	0.01491739
1:Del:T:4	0.03640765	0.00249476	0.03238496	0.00000000	0.00060217	0.00000000	0.00946085	0.05286055	0.00664835	0.01591670
1:Del:T:5	0.60755777	0.00448124	0.45350213	0.00198826	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.15439365
1:Ins:C:0	0.00147310	0.00000000	0.00697851	0.01203856	0.00000000	0.01493751	0.00215153	0.00031624	0.00361695	0.24632404
1:Ins:C:1	0.00000000	0.00092671	0.00129405	0.00271658	0.00000001	0.00586697	0.00086496	0.01254698	0.00179856	0.01291346
1:Ins:C:2	0.00000906	0.00085422	0.00171762	0.00065489	0.00009861	0.00204197	0.00046628	0.01072575	0.00144278	0.00072511
1:Ins:C:3	0.00067042	0.00183253	0.00016400	0.00079145	0.00000001	0.00424446	0.00079393	0.00121408	0.00382837	0.00095265
1:Ins:C:4	0.00263910	0.00319595	0.00052810	0.00000000	0.00000001	0.00736108	0.00058411	0.00042623	0.00213852	0.00122180
1:Ins:C:5	0.01813698	0.02016725	0.00000000	0.00000000	0.00000000	0.01569429	0.00012840	0.03259507	0.00388634	0.00918315
1:Ins:T:0	0.00083156	0.00492863	0.00298103	0.00414594	0.00000005	0.01199296	0.00284018	0.00932390	0.00925724	0.01344618
1:Ins:T:1	0.00035184	0.00000000	0.00000000	0.00000000	0.00044646	0.00000000	0.00101033	0.00000000	0.18815484	0.00000000
1:Ins:T:2	0.00264346	0.00231027	0.00060419	0.00335859	0.00074592	0.00000000	0.00117120	0.00000000	0.06676456	0.00305000
1:Ins:T:3	0.00154129	0.00354280	0.00196986	0.00273931	0.00078897	0.00333425	0.00249063	0.01392798	0.02546399	0.00527501
