	CN1	CN2	CN3	CN4	CN5	CN6	CN7	CN8	CN9	CN10	CN11	CN12	CN13	CN14	CN15	CN16	CN17	CN18	CN19
0:homdel:0-100kb	0.00179505388970679	0.00223767432853288	0.0640442425617697	0.0009662800193256	0.0258224902402731	0.00349249975552502	0	0.0002162600043252	0.00818184176814676	0.0077952399220476	0.0016137400161374	0.0230933802309338	0.00854254994580625	0.0036673	0.0013666799863332	0.00110894	0.0059147200591472	4.078e-05	5.5e-07
0:homdel:100kb-1Mb	0.00380710395071105	0.0071957876210595	0.00640384025615361	0.000219550004391	0.0249935703104507	0.00755030947147834	0	0.0007209750144195	0.0209991890730918	0.0312253196877468	0.005902700059027	0.0527247705272477	0.0182088348264993	0.00109281	0.0014312299856877	0.00303045	0.0067739800677398	0.00017845	0.00022928
0:homdel:>1Mb	0.00243674609794896	0.00383710801179133	0.0130334305213372	6.12400012248e-05	0.0038887000742626	0.00133616990646811	0	0.0002693400053584	0.00900921906579627	0.0045588099544119	0.0031308100313081	0.006866100068661	0.0005091399972487	0.04053983	0.001453299985467	0.0007584	0.004110500041105	0.00011722	0.00135207
1:LOH:0-100kb	0.00284044915285461	0.00282653598560028	0.0622135824885433	0.0561507711230154	0.0158291151398293	0.00595582958309193	0.00011082	0.0009504050155768	0.0185836518480638	0.0087975299120247	0.002754300027543	0.0218235402182354	0.0036724949824481	0.00142666	0.0021142699788573	0.0015556	0.0104156901041569	0.00050182	0.0002482
1:LOH:100kb-1Mb	0.0122630566305438	0.00632391461734855	0.0126148205045928	0.247798924955978	0.0265449402928998	0.0105207592635469	0.0050408	0.0072836301456726	0.130807871527327	0.0397452296025477	0.006231700062317	0.0659770106597701	0.0145658597456583	0.00580905	0.0050720499492795	0.00141876	0.0642937506429375	0.00081924	0.0123588
1:LOH:1Mb-10Mb	0.0191634178931632	0.00102376399756159	0.0192834607713384	0.0833693416673868	0.0013580300070385	0.000991509930594305	7.442e-05	0.0022049050440981	0.159949199370283	0.0109152498908475	0.0177507101775071	0.0042345500423455	0.0062196198756186	0.00343106	0.018688399813116	0.00028103	0.0377706203777062	0.00624116	0.05642821
1:LOH:10Mb-40Mb	0.0472977573216536	0.000483364338306154	0.00871990034879601	0.0001009600020192	0.00057368500717215	0.000409939971304202	2e-08	0.003664150073283	0.0762293551193326	0.0029042799709572	0.0018415400184154	4.03300004033e-05	0.00183076996389635	0.00204512	0.0055029499449705	8e-08	0.0210537802105378	0.00283775	0.04607252
1:LOH:>40Mb	0.0736459985159488	0.000124321667725803	0.00409212016368481	0.0023037800460756	8.099499986625e-05	0.000179169987458101	0	0.0060893151217863	0.0270006927812622	0.0014839799851602	5.75400005754e-05	4.6400000464e-06	0.0017032049659989	0.00064424	1.3399999866e-06	1.65e-06	0.0017409700174097	1.202e-05	0.01887089
2:LOH:0-100kb	0.00118798435049394	0.00248891664575713	0.0013884900555396	0.014146300282926	0.0133515000616856	0.0192514486523986	0.00277607	0.0111158400903687	0.00411905725231267	0.0063572599364274	0.0014890100148901	0.0059069600590696	0.00047236499059195	0.00067984	0.0005589299944107	0.00273632	0.0056633400566334	0.00060974	0.00070358
2:LOH:100kb-1Mb	0.00430310172437017	0.0194648691851649	0.0338351413534057	0.0400893808017876	0.255496412069659	0.177292157589549	0.0045434	0.0222829002831981	0.0137742326732473	0.0878235391217646	0.0169449601694496	0.0809364808093648	0.0130839397383372	0.01758306	0.0006226899937731	0.0065518	0.0548964405489644	0.00134094	0.06234918
2:LOH:1Mb-10Mb	0.00443801258674155	0.0335515428050867	0.0189905807596232	0.0061800901236018	0.264575823642576	0.1163828518532	0.00457336	0.0082983201651402	0.011594392671514	0.131910498680895	0.043920200439202	0.13267104132671	0.0277145045698409	0.01162738	0.0844423291555767	0.00018517	0.117067141170671	0.01443458	0.03913487
2:LOH:10Mb-40Mb	0.00431859046390283	0.0522911747304268	0.0026749701069988	0.0002451600049032	0.0670658914703041	0.00632480955726333	4.105e-05	0.0011593800231876	0.00494515180366946	0.0870698291293017	0.0246761402467614	0.176727891767279	0.0619040446396096	0.00291477	0.0884832791151672	0.00015695	0.0418877204188772	0.0096627	0.00129894
2:LOH:>40Mb	0.0122156535662662	0.067374759874857	8.23700032948001e-05	0.0024150200483004	0.0196164904498135	0.000260929981734901	0	0.0001319700026289	0.00240730454449305	0.0159339498406605	0.0112114901121149	0.136224511362245	0.283071265872742	0.00170498	0.007503799924962	7.257e-05	0.0338987903389879	0.00049936	0.00195567
3-4:LOH:0-100kb	0.00137994739478047	0.0027174020016649	0.002719100108764	0.0140256602805132	0.00548025505847605	0.00505182964637192	0.00420447	0.0095647200821776	0.00183352908533829	0.0074381199256188	0.0015820900158209	0.0093025300930253	0.0044437800727639	0.00093853	0.0026739499732605	0.00226406	0.0138826401388264	0.002561	0.00053506
3-4:LOH:100kb-1Mb	0.00166785303474209	0.0138194450537865	0.0238112209524488	0.0114402102288042	0.0268557702561035	0.0135102790542805	0.0023279	0.004662895052984	0.00284860454086671	0.068455299315447	0.048241900482419	0.0307185203071852	0.0213815199043739	0.02159759	0.0237552697624473	0.01402709	0.0125857201258572	0.02182453	2.091e-05
3-4:LOH:1Mb-10Mb	0.00151428434744227	0.0124713890143716	0.0343676713747069	0.000107850002157	0.0295190456009488	0.00409703971320722	0.00021573	0.0034921500698428	0.0034435099891423	0.0964666390353336	0.156264721562647	0.0400522704005227	0.00951742006832311	0.043701	0.0946273090537269	0.05963823	0.0011079300110793	0.02055562	0.00277049
3-4:LOH:10Mb-40Mb	0.000102202609505552	0.0106312386349254	0.021891550875662	1.00000002e-07	0.0045520901203037	5.60699960751003e-05	7.9e-07	0.0021940950434204	0.00139000727285068	0.0475480895245191	0.0552741605527416	0.0260601802606018	0.0010458549855644	0.0329184	0.0518361494816385	0.07185141	0.0027804700278047	0.0022434	0.00027444
3-4:LOH:>40Mb	0.00736760915942844	0.0174269220175299	0.0252947910117916	1.300000026e-07	0.000735890019262701	0.000328549977001502	6.74e-06	0.0033991150570444	0.00119860090544375	0.0131982798680172	0.0350921803509218	0.0165901501659015	0.00324914507931785	0.19071235	0.0022431099775689	0.05059881	0.0042111700421117	0.00094554	0.00172068
5-8:LOH:0-100kb	0.000351297826027813	0.00168941133709186	5.30000021200001e-07	0.0255271705105434	0.0006645299943433	0.000489489965735702	0.00552275	0.0107704750869881	0.000375937273354491	0.0026039099739609	0.0050122300501223	0.0057828600578286	0.00106633997913145	0.0034784	0.0012855399871446	0.00482129	2.58700002587e-05	0.00091844	2.5e-07
5-8:LOH:100kb-1Mb	0.000212106955336344	0.00341625302019785	0.0025695601027824	0.0016927300338546	0.00065250499777695	0.000310459978267801	0.00682636	0.0096752851115774	0.000836165453962273	0.0220780897792191	0.0421743204217432	0.0020866600208666	0.00056322001459585	0.00980644	0.0072657899273421	0.02136849	8.1400000814e-06	0.00241053	5.463e-05
5-8:LOH:1Mb-10Mb	0.000207783479120987	0.00449530566257901	0.00554920022196801	1.900000038e-07	0.00027818500416155	0.000214349984995501	6.776e-05	0.0021558400425252	0.000661617270461018	0.0202234497977655	0.0735717907357179	0.0032283800322838	0.0015051950451401	0.01073875	0.0183600498163995	0.04681185	1.57800001578e-05	0.00524955	1.666e-05
5-8:LOH:10Mb-40Mb	9.97152174631826e-05	0.00275604232722863	7.10000028400001e-07	1.31400002628e-05	0.00012570500237695	0.000117709991760301	0	0.0010228350189757	0.0003764863605223	0.0067966499320335	0.0153266301532663	0.0016361700163617	0.0004022700120411	0.00622641	0.0050294699497053	0.02208834	0.0006887600068876	0.00029923	3.6e-07
5-8:LOH:>40Mb	0.000331938261447213	0.0100896243491568	0.00535955021438201	1.400000028e-07	9.87500029621001e-05	0.000304059978715801	4.933e-05	0.0014596200167842	0.000382634545020873	0.0001728899982711	0.0034732300347323	0.0011001600110016	0.0116161001679535	0.01067078	1.2899999871e-06	0.00536994	0.0001204100012041	0.00012116	3.896e-05
9+:LOH:0-100kb	0.000133994782829626	0.00052019600288274	7.10000028400001e-07	1.05600002112e-05	0.00131259502216805	0.00493141965480062	0.00632901	0.0220433151249994	0.000759423639521455	0.0001853099981469	0.0006201300062013	0.0004868800048688	2.60950007646e-05	0.00384194	0.0001246799987532	0.00241473	0.0010716800107168	0.00014531	3.6e-07
9+:LOH:100kb-1Mb	0.000411987828499157	0.00066864300172857	0.0021619600864784	2.800000056e-07	0.0033062500572351	0.00545953961783223	0.02139771	0.0283815152285296	0.00123437363785347	0.002996599970034	0.0116008801160088	0.0001118800011188	0.0001174099984138	0.0047163	5.30199994698e-05	0.01211638	0.0011782600117826	0.00085741	3.97e-06
9+:LOH:1Mb-10Mb	0.00020077000108427	0.000828997325367127	0.002206600088264	2.800000056e-07	0.00064922499703415	0.000867159939298804	0.01464548	0.0080947301183245	0.000574561822044091	0.0036502199634978	0.0222486402224864	0.0001201900012019	9.96999988235e-06	2.35e-06	1.36899998631e-05	0.01534961	1.600000016e-07	0.00046208	8.476e-05
9+:LOH:10Mb-40Mb	6.51478263912174e-06	0.000350903002866087	0.002112900084516	2.800000056e-07	1.513500045205e-05	1.26799991124001e-05	6.1e-07	2.52650005041e-05	1.01900000202091e-05	0.0004455799955442	0.0025288500252885	6.13900006139e-05	2.46500003245e-06	2.35e-06	5.29199994708e-05	0.0009794	1.600000016e-07	0.0001094	1.589e-05
9+:LOH:>40Mb	2.75782609902174e-06	0.000712768005069613	0.000927550037102001	2.800000056e-07	1.23100003687e-05	3.39999976200002e-05	2e-08	0.0001117900022354	4.5545454236e-06	8.99999991e-08	0.0014878800148788	1.64700001647e-05	1.893500050205e-05	0.00333085	2.899999971e-07	7.7e-07	4.66200004662e-05	1.071e-05	5.384e-05
