Samples	SBS96A	SBS96B
PD4199a	1.70E+01	1.70E+01
PD4005a	3.10E+01	3.10E+01
PD3851a	3.52E+01	3.52E+01
PD4116a	6.46E+01	6.46E+01
PD4086a	1.20E+01	1.20E+01
PD4194a	1.86E+01	1.86E+01
PD4248a	2.55E+01	2.55E+01
PD4120a	8.00E+00	8.00E+00
PD4198a	3.67E+01	3.67E+01
PD3904a	5.17E+01	5.17E+01
PD3945a	4.39E+01	4.39E+01
PD4107a	3.78E+01	3.78E+01
PD3905a	2.66E+01	2.66E+01
PD4192a	2.15E+01	2.15E+01
PD4109a	5.62E+01	5.62E+01
PD4103a	3.90E+01	3.90E+01
PD4115a	5.83E+01	5.83E+01
PD4085a	1.70E+01	1.70E+01
PD3890a	5.83E+01	5.83E+01
PD4006a	5.19E+01	5.19E+01
PD4088a	1.05E+01	1.05E+01
