Samples	SBS96A	SBS96B
PD4199a	2.32E+01	2.32E+01
PD4005a	3.90E+01	3.90E+01
PD3851a	1.53E+01	1.53E+01
PD4116a	4.65E+01	4.65E+01
PD4086a	1.64E+01	1.64E+01
PD4194a	6.33E+00	6.33E+00
PD4248a	3.38E+00	3.38E+00
PD4120a	6.42E+01	6.42E+01
PD4198a	2.70E+01	2.70E+01
PD3904a	4.38E+01	4.38E+01
PD3945a	3.96E+01	3.96E+01
PD4107a	2.54E+01	2.54E+01
PD3905a	4.13E+01	4.13E+01
PD4192a	1.95E+01	1.95E+01
PD4109a	7.53E+01	7.53E+01
PD4103a	1.15E+00	1.15E+00
PD4115a	6.43E+01	6.43E+01
PD4085a	1.70E+01	1.70E+01
PD3890a	8.39E+00	8.39E+00
PD4006a	4.83E+01	4.83E+01
PD4088a	2.70E+01	2.70E+01
