Samples	SBS96A	SBS96B	SBS96C
PD4199a	1.90E+01	5.72E+01	7.48E+01
PD4005a	5.39E+01	3.25E+01	8.26E+01
PD3851a	6.24E+00	2.15E+01	2.62E+01
PD4116a	5.78E+01	9.24E+00	6.45E+01
PD4086a	1.48E+01	3.31E+01	4.36E+01
PD4194a	1.62E+01	3.53E+00	1.42E+01
PD4248a	1.22E+01	3.98E+01	2.93E+01
PD4120a	3.07E+02	3.80E+02	8.95E+01
PD4198a	1.51E+01	8.51E+01	8.15E+01
PD3904a	5.52E+01	8.94E+01	1.42E+02
PD3945a	6.34E+01	9.18E+01	1.52E+02
PD4107a	4.20E+01	3.24E+01	7.37E+01
PD3905a	4.64E+01	3.96E+01	8.04E+01
PD4192a	2.22E+01	9.02E+01	6.97E+01
PD4109a	5.53E+01	1.67E+02	2.21E+02
PD4103a	4.11E+01	1.30E+02	1.23E+02
PD4115a	8.05E+01	2.02E+02	2.70E+02
PD4085a	1.52E+01	1.26E+02	1.23E+02
PD3890a	1.89E+01	6.55E+01	8.01E+01
PD4006a	8.41E+01	7.12E+01	1.49E+02
PD4088a	2.52E+01	6.42E+01	8.90E+01
