Mutation Types	Sample1	Sample2	Sample3	Sample4	Sample5
1:Del:C:0	61	53	89	79	73
1:Del:C:1	26	64	20	67	87
1:Del:C:2	88	27	96	77	56
1:Del:C:3	66	52	4	47	95
1:Del:C:4	34	32	9	1	6
1:Del:C:5	29	33	37	36	53
1:Del:T:0	31	41	14	76	23
1:Del:T:1	61	71	79	96	23
1:Del:T:2	63	64	56	54	55
1:Del:T:3	23	32	40	47	57
1:Del:T:4	26	97	1	83	32
1:Del:T:5	35	23	33	70	59
1:Ins:C:0	7	39	12	78	50
1:Ins:C:1	20	46	78	42	31
1:Ins:C:2	79	58	59	18	19
1:Ins:C:3	42	28	44	3	32
1:Ins:C:4	82	19	27	92	35
1:Ins:C:5	34	87	27	80	54
1:Ins:T:0	42	55	3	5	97
1:Ins:T:1	41	26	32	90	25
1:Ins:T:2	67	50	14	85	41
1:Ins:T:3	30	55	86	97	82
1:Ins:T:4	6	89	85	67	5
1:Ins:T:5	63	54	50	0	21
2:Del:R:0	45	73	39	67	60
2:Del:R:1	94	11	40	1	81
2:Del:R:2	13	3	77	23	46
2:Del:R:3	48	8	32	86	52
2:Del:R:4	68	45	33	31	0
2:Del:R:5	69	66	22	20	3
3:Del:R:0	25	42	38	61	78
3:Del:R:1	19	1	97	52	54
3:Del:R:2	69	19	33	65	0
3:Del:R:3	22	63	31	70	57
3:Del:R:4	18	90	45	98	77
3:Del:R:5	82	14	39	31	2
4:Del:R:0	13	27	42	17	43
4:Del:R:1	20	15	59	77	18
4:Del:R:2	59	59	40	81	0
4:Del:R:3	0	20	92	63	37
4:Del:R:4	99	46	67	84	36
4:Del:R:5	46	85	63	45	45
5:Del:R:0	15	71	37	0	74
5:Del:R:1	47	96	51	28	23
5:Del:R:2	5	88	90	74	15
5:Del:R:3	87	12	96	16	91
5:Del:R:4	15	20	87	68	18
5:Del:R:5	78	75	94	16	40
2:Ins:R:0	52	70	12	93	95
2:Ins:R:1	88	33	3	27	46
2:Ins:R:2	22	34	85	43	33
2:Ins:R:3	9	21	7	99	19
2:Ins:R:4	88	25	76	57	5
2:Ins:R:5	33	47	55	63	84
3:Ins:R:0	38	35	73	0	80
3:Ins:R:1	12	57	70	69	91
3:Ins:R:2	59	57	55	29	63
3:Ins:R:3	22	55	47	70	89
3:Ins:R:4	89	35	54	98	5
3:Ins:R:5	26	47	40	49	68
4:Ins:R:0	69	6	22	29	53
4:Ins:R:1	84	43	63	41	82
4:Ins:R:2	79	68	97	21	59
4:Ins:R:3	91	69	23	76	31
4:Ins:R:4	4	79	23	45	62
4:Ins:R:5	99	95	66	59	28
5:Ins:R:0	23	40	41	62	0
5:Ins:R:1	94	98	90	33	7
5:Ins:R:2	99	37	31	88	42
5:Ins:R:3	86	46	36	6	77
5:Ins:R:4	22	44	53	26	18
5:Ins:R:5	80	82	61	18	34
2:Del:M:1	90	95	97	31	94
3:Del:M:1	2	91	42	84	93
3:Del:M:2	40	58	15	37	23
4:Del:M:1	96	12	82	42	53
4:Del:M:2	31	26	86	1	90
4:Del:M:3	25	1	50	43	16
5:Del:M:1	77	98	69	50	26
5:Del:M:2	56	47	43	8	88
5:Del:M:3	41	6	50	13	40
5:Del:M:4	10	35	44	53	3
5:Del:M:5	30	3	55	7	14
