MutationsType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I	DBS78J
AC>CA	0.00000147	0.00000000	0.00000329	0.00000000	0.00261989	0.00571955	0.02153659	0.06845419	0.00030925	0.00000228
AC>CG	0.00000284	0.00892548	0.00000437	0.00000798	0.00000069	0.00000001	0.00000000	0.00000204	0.00000025	0.00000070
AC>CT	0.00010998	0.01718593	0.00000148	0.00000000	0.00000065	0.00366879	0.00000000	0.01275529	0.00000273	0.00000511
AC>GA	0.00000000	0.00109701	0.00544209	0.05812111	0.02324790	0.02254448	0.00728015	0.00904214	0.00684010	0.00000000
AC>GG	0.00048407	0.00000000	0.00000000	0.00000000	0.00203472	0.00000000	0.00000000	0.00392303	0.00840148	0.00386878
AC>GT	0.00694808	0.00299568	0.00000303	0.00000020	0.00000172	0.00026038	0.00135918	0.00000000	0.00000059	0.00728515
AC>TA	0.00000983	0.00000009	0.00000000	0.00000000	0.00342719	0.00000121	0.09485586	0.00000969	0.00000000	0.00000465
AC>TG	0.00000000	0.01540884	0.00001054	0.00000000	0.00000000	0.00000000	0.00000068	0.00000043	0.00000149	0.00765458
AC>TT	0.00000000	0.00507150	0.02308200	0.01971575	0.01880993	0.00000000	0.00000479	0.02339362	0.00000000	0.00000000
AT>CA	0.00000974	0.00000252	0.01142595	0.00839327	0.00000385	0.00466129	0.00000000	0.00671193	0.00000000	0.00000000
AT>CC	0.00000000	0.00000158	0.00000016	0.00000035	0.00055699	0.00806448	0.00000036	0.00000131	0.00000012	0.00193727
AT>CG	0.00000036	0.00000149	0.00000985	0.00001344	0.00000025	0.00000035	0.00000038	0.00133039	0.00050399	0.00000200
AT>GA	0.00000116	0.00002941	0.02062550	0.00000000	0.00001183	0.00000020	0.00000480	0.02243761	0.00000000	0.00000000
AT>GC	0.00000026	0.00000305	0.00000100	0.00000014	0.00000104	0.00001287	0.00106898	0.00071367	0.00000000	0.00250981
AT>TA	0.00000298	0.01635354	0.00752523	0.00001861	0.00000000	0.00000110	0.05224749	0.02062796	0.00000000	0.00000194
